时间戳,PID,读取字节,写入字节,读取IO操作,写入IO操作
2025-09-12 15:29:51,3782833,0,0,120911,65458
2025-09-12 15:29:52,3782833,0,0,91720,63570
2025-09-12 15:29:53,3782833,0,0,103735,64825
2025-09-12 15:29:54,3782833,0,0,112241,63463
2025-09-12 15:29:55,3782833,0,0,108920,61789
2025-09-12 15:29:56,3782833,0,0,106799,67171
2025-09-12 15:29:57,3782833,0,0,119821,86221
2025-09-12 15:29:58,3782833,0,0,324466,293649
2025-09-12 15:29:59,3782833,0,0,315796,276132
2025-09-12 15:30:00,3782833,0,0,376802,342464
2025-09-12 15:30:01,3782833,0,0,381836,320360
2025-09-12 15:30:02,3782833,0,0,369265,328296
2025-09-12 15:30:03,3782833,0,0,382617,317886
2025-09-12 15:30:04,3782833,0,0,361674,302684
2025-09-12 15:30:05,3782833,0,0,326543,271269
2025-09-12 15:30:06,3782833,0,0,109019,65715
2025-09-12 15:30:07,3782833,0,0,106089,63226
2025-09-12 15:30:08,3782833,0,0,116793,63410
2025-09-12 15:30:09,3782833,0,0,107565,66020
2025-09-12 15:30:10,3782833,0,0,100876,63834
2025-09-12 15:30:11,3782833,0,0,105892,63710
2025-09-12 15:30:12,3782833,0,0,108724,64968
2025-09-12 15:30:13,3782833,0,0,103361,62834
2025-09-12 15:30:14,3782833,0,0,103263,63195
2025-09-12 15:30:15,3782833,0,0,103118,63413
2025-09-12 15:30:16,3782833,0,0,101543,63413
2025-09-12 15:30:17,3782833,0,0,102033,63411
2025-09-12 15:30:18,3782833,0,0,105804,65454
2025-09-12 15:30:19,3782833,0,0,110928,65027
2025-09-12 15:30:20,3782833,0,0,99509,63379
2025-09-12 15:30:21,3782833,0,0,97497,65924
2025-09-12 15:30:22,3782833,0,0,107235,64297
2025-09-12 15:30:23,3782833,0,0,111094,64278
2025-09-12 15:30:24,3782833,0,0,111981,61408
2025-09-12 15:30:25,3782833,0,0,98978,67764
2025-09-12 15:30:26,3782833,0,0,109790,65457
2025-09-12 15:30:27,3782833,0,0,117522,63411
2025-09-12 15:30:28,3782833,0,0,106763,64970
2025-09-12 15:30:29,3782833,0,0,117321,63927
2025-09-12 15:30:30,3782833,0,0,102761,64835
2025-09-12 15:30:31,3782833,0,0,106866,61965
2025-09-12 15:30:32,3782833,0,0,107780,63940
2025-09-12 15:30:34,3782833,0,0,113178,62679
2025-09-12 15:30:35,3782833,0,0,105816,65076
2025-09-12 15:30:36,3782833,0,0,114474,64254
2025-09-12 15:30:37,3782833,0,0,104652,64319
2025-09-12 15:30:38,3782833,0,0,98803,66344
2025-09-12 15:30:39,3782833,0,0,109748,65462
2025-09-12 15:30:40,3782833,0,0,101590,64605
2025-09-12 15:30:41,3782833,0,0,112383,65333
2025-09-12 15:30:42,3782833,0,0,96974,63685
2025-09-12 15:30:43,3782833,0,0,104178,64737
2025-09-12 15:30:44,3782833,0,0,109081,62441
2025-09-12 15:30:45,3782833,0,0,112984,65809
2025-09-12 15:30:46,3782833,0,0,98415,63408
2025-09-12 15:30:47,3782833,0,0,110172,62892
2025-09-12 15:30:48,3782833,0,0,108767,63932
2025-09-12 15:30:49,3782833,0,0,105373,63234
2025-09-12 15:30:50,3782833,0,0,99227,62030
2025-09-12 15:30:51,3782833,0,0,123835,68177
2025-09-12 15:30:52,3782833,0,0,107103,64297
2025-09-12 15:30:53,3782833,0,0,108467,62332
2025-09-12 15:30:54,3782833,0,0,101151,64492
2025-09-12 15:30:55,3782833,0,0,107149,63525
2025-09-12 15:30:56,3782833,0,0,104089,63303
2025-09-12 15:30:57,3782833,0,0,97001,57893
2025-09-12 15:30:58,3782833,0,0,362289,313884
2025-09-12 15:30:59,3782833,0,0,368465,318742
2025-09-12 15:31:00,3782833,0,0,368148,324453
2025-09-12 15:31:01,3782833,0,0,344381,300674
2025-09-12 15:31:02,3782833,0,0,404976,351165
2025-09-12 15:31:03,3782833,0,0,360330,312043
2025-09-12 15:31:04,3782833,0,0,371456,315724
2025-09-12 15:31:05,3782833,0,0,256314,218356
2025-09-12 15:31:06,3782833,0,0,112042,62210
2025-09-12 15:31:07,3782833,0,0,95177,64713
2025-09-12 15:31:08,3782833,0,0,101501,64198
2025-09-12 15:31:09,3782833,0,0,105182,64739
2025-09-12 15:31:10,3782833,0,0,113179,63426
2025-09-12 15:31:11,3782833,0,0,103227,68118
2025-09-12 15:31:12,3782833,0,0,112457,63078
2025-09-12 15:31:13,3782833,0,0,99266,63871
2025-09-12 15:31:14,3782833,0,0,109411,64101
2025-09-12 15:31:15,3782833,0,0,105841,64032
2025-09-12 15:31:16,3782833,0,0,115624,63979
2025-09-12 15:31:17,3782833,0,0,106650,64004
2025-09-12 15:31:18,3782833,0,0,115044,64280
2025-09-12 15:31:19,3782833,0,0,96713,64012
2025-09-12 15:31:20,3782833,0,0,133678,70994
2025-09-12 15:31:21,3782833,0,0,111901,66452
2025-09-12 15:31:22,3782833,0,0,107678,62680
2025-09-12 15:31:23,3782833,0,0,99988,63473
2025-09-12 15:31:24,3782833,0,0,116632,66327
2025-09-12 15:31:25,3782833,0,0,104534,68357
2025-09-12 15:31:26,3782833,0,0,100468,64627
2025-09-12 15:31:27,3782833,0,0,105801,64020
2025-09-12 15:31:28,3782833,0,0,99849,63199
2025-09-12 15:31:29,3782833,0,0,115349,62308
2025-09-12 15:31:30,3782833,0,0,109001,62910
2025-09-12 15:31:31,3782833,0,0,64147,120165
2025-09-12 15:31:33,3782833,0,0,186769,194993
2025-09-12 15:31:34,3782833,0,0,280955,270273
2025-09-12 15:31:35,3782833,0,0,313545,312930
2025-09-12 15:31:36,3782833,0,0,359496,359653
IO总量统计
总读取量: 0 字节 (0B)
总写入量: 0 字节 (0B)
总读取IO操作: 20925320
总写入IO操作: 14939803
